contractingofficeagencyid,dollarsobligated,fiscal_year,mod_parent,piid,productorservicecode,vendorname
BUREAU OF THE FISCAL SERVICE,9521.6,2016,MOBIL OIL GUAM INC,0446,R799: SUPPORT- MANAGEMENT: OTHER,MOBIL OIL GUAM INC
BUREAU OF THE FISCAL SERVICE,9521.6,2016,THE MITRE CORPORATION,0446,R799: SUPPORT- MANAGEMENT: OTHER,THE MITRE CORPORATION
NATIONAL ARCHIVES AND RECORDS ADMINISTRATION,-105.4,2016,UNIVERSITY OF TEXAS AT AUSTIN,NAMA15C0012,S201: HOUSEKEEPING- CUSTODIAL JANITORIAL,UNIVERSITY OF TEXAS AT AUSTIN
NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,0,2016,UNIVERSITY OF TEXAS AT AUSTIN,NNX15AD49G,AR21: R&D- SPACE: SCIENCE/APPLICATIONS (BASIC RESEARCH),UNIVERSITY OF TEXAS AT AUSTIN
NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,-6973.58,2016,UNIVERSITY OF TEXAS AT AUSTIN,NNL14AA36T,AR12: R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT),UNIVERSITY OF TEXAS AT AUSTIN
NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,-7560.58,2016,UNIVERSITY OF TEXAS AT AUSTIN,NNL15AB40T,AR12: R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT),UNIVERSITY OF TEXAS AT AUSTIN
NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,125000,2016,UNIVERSITY OF SOUTHERN CALIFORNIA,NNX12AR21A,AR21: R&D- SPACE: SCIENCE/APPLICATIONS (BASIC RESEARCH),UNIVERSITY OF SOUTHERN CALIFORNIA
NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,145000,2016,UNIVERSITY OF SOUTHERN CALIFORNIA,NNX15AB49G,AR21: R&D- SPACE: SCIENCE/APPLICATIONS (BASIC RESEARCH),UNIVERSITY OF SOUTHERN CALIFORNIA
NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,0,2016,"CENTERRA GROUP, LLC",NNA06CD65C,H142: QUALITY CONTROL- FIRE FIGHTING/RESCUE/SAFETY EQUIPMENT; ENVIRON PROTECT EQUIPMENT/MATLS,"CENTERRA GROUP, LLC"
NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,-28664.54,2016,UNIVERSITY OF TEXAS AT AUSTIN,NNX11AN55H,U009: EDUCATION/TRAINING- GENERAL,UNIVERSITY OF TEXAS AT AUSTIN
NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,17786,2016,UNIVERSITY OF SOUTHERN CALIFORNIA,NNG16LD19P,6695: COMBINATION AND MISCELLANEOUS INSTRUMENTS,UNIVERSITY OF SOUTHERN CALIFORNIA
NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,1950002,2016,DUKE UNIVERSITY,NNX11AC60G,AR21: R&D- SPACE: SCIENCE/APPLICATIONS (BASIC RESEARCH),DUKE UNIVERSITY
NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,0,2016,UNIVERSITY OF SOUTHERN CALIFORNIA,NNX12AE44G,AR21: R&D- SPACE: SCIENCE/APPLICATIONS (BASIC RESEARCH),UNIVERSITY OF SOUTHERN CALIFORNIA
NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,144035,2016,UNIVERSITY OF TEXAS AT AUSTIN,NNX15AB85A,AR21: R&D- SPACE: SCIENCE/APPLICATIONS (BASIC RESEARCH),UNIVERSITY OF TEXAS AT AUSTIN
NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,126000,2016,UNIVERSITY OF TEXAS AT AUSTIN,NNX14AJ12G,AR21: R&D- SPACE: SCIENCE/APPLICATIONS (BASIC RESEARCH),UNIVERSITY OF TEXAS AT AUSTIN
NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,-49.62,2016,UNIVERSITY OF TEXAS AT AUSTIN,NNX08AW08G,AR21: R&D- SPACE: SCIENCE/APPLICATIONS (BASIC RESEARCH),UNIVERSITY OF TEXAS AT AUSTIN
NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,-118915.24,2016,UNIVERSITY OF TEXAS AT AUSTIN,NNX11AN26H,U009: EDUCATION/TRAINING- GENERAL,UNIVERSITY OF TEXAS AT AUSTIN
NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,-16868.22,2016,UNIVERSITY OF TEXAS AT AUSTIN,NNX13AN95H,U009: EDUCATION/TRAINING- GENERAL,UNIVERSITY OF TEXAS AT AUSTIN
NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,0,2016,UNIVERSITY OF TEXAS AT AUSTIN,NNX13AH12A,AR21: R&D- SPACE: SCIENCE/APPLICATIONS (BASIC RESEARCH),UNIVERSITY OF TEXAS AT AUSTIN
NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,-396.54,2016,UNIVERSITY OF TEXAS AT AUSTIN,NNX11AE72G,AR21: R&D- SPACE: SCIENCE/APPLICATIONS (BASIC RESEARCH),UNIVERSITY OF TEXAS AT AUSTIN
NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,-36886.48,2016,UNIVERSITY OF TEXAS AT AUSTIN,NNX12AI77H,U009: EDUCATION/TRAINING- GENERAL,UNIVERSITY OF TEXAS AT AUSTIN
NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,0,2016,UNIVERSITY OF TEXAS AT AUSTIN,NNX11AD88G,AR21: R&D- SPACE: SCIENCE/APPLICATIONS (BASIC RESEARCH),UNIVERSITY OF TEXAS AT AUSTIN
NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,477922,2016,UNIVERSITY OF TEXAS AT AUSTIN,NNX16AB89A,AR21: R&D- SPACE: SCIENCE/APPLICATIONS (BASIC RESEARCH),UNIVERSITY OF TEXAS AT AUSTIN
NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,-0.08,2016,UNIVERSITY OF TEXAS AT AUSTIN,NNX12AN78H,U009: EDUCATION/TRAINING- GENERAL,UNIVERSITY OF TEXAS AT AUSTIN
NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,0,2016,UNIVERSITY OF TEXAS AT AUSTIN,NNX13AC23G,AR21: R&D- SPACE: SCIENCE/APPLICATIONS (BASIC RESEARCH),UNIVERSITY OF TEXAS AT AUSTIN
NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,100000,2016,UNIVERSITY OF TEXAS AT AUSTIN,NNX15AD97G,AR21: R&D- SPACE: SCIENCE/APPLICATIONS (BASIC RESEARCH),UNIVERSITY OF TEXAS AT AUSTIN
NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,-609.86,2016,UNIVERSITY OF SOUTHERN CALIFORNIA,NNX12AQ53G,AR21: R&D- SPACE: SCIENCE/APPLICATIONS (BASIC RESEARCH),UNIVERSITY OF SOUTHERN CALIFORNIA
NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,164784,2016,UNIVERSITY OF TEXAS AT AUSTIN,NNX12AM03G,AR21: R&D- SPACE: SCIENCE/APPLICATIONS (BASIC RESEARCH),UNIVERSITY OF TEXAS AT AUSTIN
NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,50000,2016,WORCESTER POLYTECHNIC INSTITUTE,NNX12AR32G,AR21: R&D- SPACE: SCIENCE/APPLICATIONS (BASIC RESEARCH),WORCESTER POLYTECHNIC INSTITUTE
NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,110892,2016,UNIVERSITY OF TEXAS AT AUSTIN,NNX15AD24G,AR21: R&D- SPACE: SCIENCE/APPLICATIONS (BASIC RESEARCH),UNIVERSITY OF TEXAS AT AUSTIN
NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,-32.68,2016,UNIVERSITY OF SOUTHERN CALIFORNIA,NNX11AH21G,AR21: R&D- SPACE: SCIENCE/APPLICATIONS (BASIC RESEARCH),UNIVERSITY OF SOUTHERN CALIFORNIA
NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,166002,2016,UNIVERSITY OF TEXAS AT AUSTIN,NNX13AQ76G,AR21: R&D- SPACE: SCIENCE/APPLICATIONS (BASIC RESEARCH),UNIVERSITY OF TEXAS AT AUSTIN
NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,761732,2016,UNIVERSITY OF SOUTHERN CALIFORNIA,NNL16AA13C,AR11: R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (BASIC RESEARCH),UNIVERSITY OF SOUTHERN CALIFORNIA
NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,252000,2016,UNIVERSITY OF TEXAS AT AUSTIN,NNG12VI01C,AR91: R&D- SPACE: OTHER (BASIC RESEARCH),UNIVERSITY OF TEXAS AT AUSTIN
NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,-4.84,2016,UNIVERSITY OF TEXAS AT AUSTIN,NNX12AI23G,AR21: R&D- SPACE: SCIENCE/APPLICATIONS (BASIC RESEARCH),UNIVERSITY OF TEXAS AT AUSTIN
NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,-2150.62,2016,UNIVERSITY OF TEXAS AT AUSTIN,NNX11AE42G,AR21: R&D- SPACE: SCIENCE/APPLICATIONS (BASIC RESEARCH),UNIVERSITY OF TEXAS AT AUSTIN
NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,0,2016,DYNCORP INTERNATIONAL LLC,NNJ12JC05C,J015: MAINT/REPAIR/REBUILD OF EQUIPMENT- AIRCRAFT AND AIRFRAME STRUCTURAL COMPONENTS,DYNCORP INTERNATIONAL LLC
NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,120468,2016,DUKE UNIVERSITY,NNX16AB11G,AR21: R&D- SPACE: SCIENCE/APPLICATIONS (BASIC RESEARCH),DUKE UNIVERSITY
NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,-44746,2016,UNIVERSITY OF TEXAS AT AUSTIN,NNX11AN80H,U009: EDUCATION/TRAINING- GENERAL,UNIVERSITY OF TEXAS AT AUSTIN
NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,517081.88,2016,DYNCORP INTERNATIONAL LLC,NNJ12JD12T,J015: MAINT/REPAIR/REBUILD OF EQUIPMENT- AIRCRAFT AND AIRFRAME STRUCTURAL COMPONENTS,DYNCORP INTERNATIONAL LLC
NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,-128.86,2016,UNIVERSITY OF TEXAS AT AUSTIN,NNX10AO26G,AR21: R&D- SPACE: SCIENCE/APPLICATIONS (BASIC RESEARCH),UNIVERSITY OF TEXAS AT AUSTIN
NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,7448713.0600000005,2016,DYNCORP INTERNATIONAL LLC,NNJ12JD11T,J015: MAINT/REPAIR/REBUILD OF EQUIPMENT- AIRCRAFT AND AIRFRAME STRUCTURAL COMPONENTS,DYNCORP INTERNATIONAL LLC
NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,210000,2016,UNIVERSITY OF SOUTHERN CALIFORNIA,NNX15AH32G,AR21: R&D- SPACE: SCIENCE/APPLICATIONS (BASIC RESEARCH),UNIVERSITY OF SOUTHERN CALIFORNIA
NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,1668266,2016,UNIVERSITY OF TEXAS AT AUSTIN,NNL15AB97T,AR12: R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT),UNIVERSITY OF TEXAS AT AUSTIN
NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,-33895.12,2016,UNIVERSITY OF TEXAS AT AUSTIN,NNX11AM72H,U009: EDUCATION/TRAINING- GENERAL,UNIVERSITY OF TEXAS AT AUSTIN
NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,-70.9,2016,UNIVERSITY OF TEXAS AT AUSTIN,NNX12AO32G,AR21: R&D- SPACE: SCIENCE/APPLICATIONS (BASIC RESEARCH),UNIVERSITY OF TEXAS AT AUSTIN
NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,-22155.92,2016,UNIVERSITY OF TEXAS AT AUSTIN,NNX10AI96H,U009: EDUCATION/TRAINING- GENERAL,UNIVERSITY OF TEXAS AT AUSTIN
NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,226004,2016,UNIVERSITY OF SOUTHERN CALIFORNIA,NNA13AA92A,AR11: R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (BASIC RESEARCH),UNIVERSITY OF SOUTHERN CALIFORNIA
NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,-5855.84,2016,JOHNS HOPKINS UNIVERSITY,NNX08AI65G,AR21: R&D- SPACE: SCIENCE/APPLICATIONS (BASIC RESEARCH),JOHNS HOPKINS UNIVERSITY
NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,0,2016,UNIVERSITY OF TEXAS AT AUSTIN,NNX13AT07H,U009: EDUCATION/TRAINING- GENERAL,UNIVERSITY OF TEXAS AT AUSTIN
NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,21546,2016,AMERICAN MEDICAL ASSOCIATION,NNJ16JA19P,T099: PHOTO/MAP/PRINT/PUBLICATION- OTHER,AMERICAN MEDICAL ASSOCIATION
NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,0,2016,UNIVERSITY OF TEXAS AT AUSTIN,NNX13AR75H,U009: EDUCATION/TRAINING- GENERAL,UNIVERSITY OF TEXAS AT AUSTIN
NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,310668,2016,THE MITRE CORPORATION,NNH16PB26P,R425: SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL,THE MITRE CORPORATION
NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,-6560.3,2016,UNIVERSITY OF TEXAS AT AUSTIN,NNL15AA84T,AR12: R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT),UNIVERSITY OF TEXAS AT AUSTIN
NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,-406.08,2016,UNIVERSITY OF TEXAS AT AUSTIN,NNL14AB24T,AR12: R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT),UNIVERSITY OF TEXAS AT AUSTIN
NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,-1451.5,2016,UNIVERSITY OF TEXAS AT AUSTIN,NNL14AB31T,AR12: R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT),UNIVERSITY OF TEXAS AT AUSTIN
U.S. SECRET SERVICE,52593.6,2016,TRUMP PALACE CONDOMINIUM,HSSS0113L0314,W099: LEASE OR RENTAL OF EQUIPMENT- MISCELLANEOUS,TRUMP PALACE CONDOMINIUM
U.S. SECRET SERVICE,2145998,2016,THE MITRE CORPORATION,HSSS0112C0010,R425: SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL,THE MITRE CORPORATION
NATIONAL HIGHWAY TRAFFIC SAFETY ADMINISTRATION,1200,2016,UNIVERSITY OF SOUTHERN CALIFORNIA,DTNH2216D00001,B599: SPECIAL STUDIES/ANALYSIS- OTHER,UNIVERSITY OF SOUTHERN CALIFORNIA
PENSION BENEFIT GUARANTY CORPORATION,2000000,2016,STATE STREET CORPORATION,PBGC01CT150006,R703: SUPPORT- MANAGEMENT: ACCOUNTING,STATE STREET CORPORATION
PENSION BENEFIT GUARANTY CORPORATION,4400000,2016,STATE STREET CORPORATION,PBGC01CT130007,R499: SUPPORT- PROFESSIONAL: OTHER,STATE STREET CORPORATION
FOREST SERVICE,1666000,2016,DYNCORP INTERNATIONAL LLC,AG024BC120003,F003: NATURAL RESOURCES/CONSERVATION- FOREST-RANGE FIRE SUPPRESSION/PRESUPPRESSION,DYNCORP INTERNATIONAL LLC
FOOD SAFETY AND INSPECTION SERVICE,-33945.28,2016,THE MITRE CORPORATION,AG3A94D140178,AA96: R&D- AGRICULTURE: OTHER (MANAGEMENT/SUPPORT),THE MITRE CORPORATION
FOOD SAFETY AND INSPECTION SERVICE,-32890.08,2016,THE MITRE CORPORATION,AG3A94D130132,AA96: R&D- AGRICULTURE: OTHER (MANAGEMENT/SUPPORT),THE MITRE CORPORATION
FOOD SAFETY AND INSPECTION SERVICE,0,2016,THE MITRE CORPORATION,AG3A94D150197,AA96: R&D- AGRICULTURE: OTHER (MANAGEMENT/SUPPORT),THE MITRE CORPORATION
"STATE, DEPARTMENT OF",0,2016,DYNCORP INTERNATIONAL LLC,SAQMMA09D0083,R706: SUPPORT- MANAGEMENT: LOGISTICS SUPPORT,DYNCORP INTERNATIONAL LLC
"STATE, DEPARTMENT OF",0,2016,DYNCORP,SAQMMA08F5375,R408: SUPPORT- PROFESSIONAL: PROGRAM MANAGEMENT/SUPPORT,DYNCORP
"STATE, DEPARTMENT OF",6906966,2016,DYNCORP INTERNATIONAL LLC,SAQMMA16F4029,AD15: R&D- DEFENSE OTHER: AMMUNITION (OPERATIONAL SYSTEMS DEVELOPMENT),DYNCORP INTERNATIONAL LLC
"STATE, DEPARTMENT OF",0,2016,DYNCORP INTERNATIONAL LLC,SAQMMA15C0257,R408: SUPPORT- PROFESSIONAL: PROGRAM MANAGEMENT/SUPPORT,DYNCORP INTERNATIONAL LLC
